,cloud,sunshine,day,month,tmax,wind,date,rainfall,station_id,tmin,snow,Date,year,humid,tavg
70,0.0,10.8,11,3,8.4,2.8,20200311,0.0,127,-1.2,0.0,2020-03-11,2020,54.1,3.3
71,0.0,10.6,12,3,15.0,1.3,20200312,0.0,127,-4.1,0.0,2020-03-12,2020,54.3,4.9
72,5.3,7.7,13,3,11.9,1.8,20200313,0.0,127,-1.4,0.0,2020-03-13,2020,50.5,5.7
73,2.9,10.0,14,3,10.3,2.2,20200314,0.0,127,-4.5,0.0,2020-03-14,2020,46.5,4.0
74,5.3,5.5,15,3,10.0,3.1,20200315,0.0,127,1.0,0.0,2020-03-15,2020,54.3,4.1
75,0.0,10.9,16,3,10.6,1.4,20200316,0.0,127,-4.1,0.0,2020-03-16,2020,53.5,3.1
76,4.9,1.1,17,3,10.7,0.8,20200317,0.0,127,-2.0,0.0,2020-03-17,2020,74.8,4.4
77,0.1,11.0,18,3,17.8,1.1,20200318,0.0,127,-2.0,0.0,2020-03-18,2020,56.5,7.7
78,3.9,5.2,19,3,15.8,4.4,20200319,0.0,127,3.2,0.0,2020-03-19,2020,52.1,8.4
79,0.1,11.1,20,3,16.3,2.1,20200320,0.0,127,-0.3,0.0,2020-03-20,2020,45.8,7.9
80,6.0,7.0,21,3,22.0,1.2,20200321,0.0,127,0.6,0.0,2020-03-21,2020,54.5,12.5
81,2.4,9.5,22,3,19.0,2.2,20200322,0.0,127,4.8,0.0,2020-03-22,2020,52.4,12.2
82,0.1,11.3,23,3,17.6,1.8,20200323,0.0,127,0.3,0.0,2020-03-23,2020,45.8,9.2
83,0.0,11.2,24,3,18.0,1.0,20200324,0.0,127,0.4,0.0,2020-03-24,2020,49.6,9.1
84,2.6,10.8,25,3,21.2,0.9,20200325,0.0,127,1.4,0.0,2020-03-25,2020,48.5,11.6
85,7.5,5.5,26,3,22.1,1.4,20200326,0.0,127,4.5,0.0,2020-03-26,2020,61.1,14.0
86,6.6,1.7,27,3,14.8,1.6,20200327,7.8,127,5.9,0.0,2020-03-27,2020,81.3,11.4
87,7.0,7.7,28,3,12.4,1.2,20200328,0.0,127,1.0,0.0,2020-03-28,2020,48.5,6.6
88,4.4,8.9,29,3,15.4,1.3,20200329,0.0,127,-1.7,0.0,2020-03-29,2020,56.3,7.6
89,2.5,11.0,30,3,18.2,1.1,20200330,0.0,127,3.0,0.0,2020-03-30,2020,53.1,10.4
90,4.8,10.4,31,3,19.8,1.0,20200331,0.0,127,1.6,0.0,2020-03-31,2020,49.1,10.8
91,5.5,6.4,1,4,19.1,1.7,20200401,0.0,127,5.0,0.0,2020-04-01,2020,46.0,10.6
92,0.0,10.8,2,4,17.1,1.5,20200402,0.0,127,-0.3,0.0,2020-04-02,2020,49.3,8.3
93,0.0,11.4,3,4,17.9,1.7,20200403,0.0,127,-0.6,0.0,2020-04-03,2020,41.8,8.5
94,2.3,8.8,4,4,15.6,1.9,20200404,0.0,127,1.2,0.0,2020-04-04,2020,45.1,7.5
95,0.0,11.4,5,4,14.6,1.6,20200405,0.0,127,-3.1,0.0,2020-04-05,2020,36.6,5.7
96,3.1,11.1,6,4,17.4,1.6,20200406,0.0,127,-2.3,0.0,2020-04-06,2020,42.0,8.4
97,2.0,11.2,7,4,19.2,1.9,20200407,0.0,127,1.0,0.0,2020-04-07,2020,47.6,10.7
98,0.0,11.6,8,4,15.5,2.3,20200408,0.0,127,1.5,0.0,2020-04-08,2020,39.6,8.3
99,1.9,11.4,9,4,16.3,1.6,20200409,0.0,127,-0.4,0.0,2020-04-09,2020,50.4,8.2
100,6.0,5.9,10,4,16.0,1.2,20200410,0.0,127,2.9,0.0,2020-04-10,2020,51.8,10.1
101,5.9,7.8,11,4,15.2,1.4,20200411,0.0,127,2.4,0.0,2020-04-11,2020,52.6,9.3
102,4.6,9.9,12,4,15.8,2.4,20200412,0.0,127,0.3,0.0,2020-04-12,2020,61.4,8.4
103,3.9,11.1,13,4,18.5,1.9,20200413,0.0,127,1.2,0.0,2020-04-13,2020,40.8,9.4
104,1.8,11.9,14,4,21.7,1.6,20200414,0.0,127,0.6,0.0,2020-04-14,2020,38.3,11.2
105,6.5,10.8,15,4,21.3,1.1,20200415,0.0,127,1.8,0.0,2020-04-15,2020,42.9,11.7
